21/10/2018, 16:33:52, 150, 520, 915
21/10/2018, 16:34:45, 150, 520, 915
21/10/2018, 16:34:46, 150, 520, 915
21/10/2018, 16:34:48, 150, 520, 915
21/10/2018, 16:34:49, 150, 520, 915
21/10/2018, 16:34:52, 150, 520, 915
21/10/2018, 16:34:57, 150, 520, 915
21/10/2018, 16:34:59, 150, 520, 915
21/10/2018, 16:35:02, 150, 520, 915
21/10/2018, 16:35:05, 150, 520, 915
21/10/2018, 16:35:07, 150, 520, 915
21/10/2018, 16:35:09, 150, 520, 915
21/10/2018, 16:35:15, 150, 520, 915
21/10/2018, 16:35:17, 150, 520, 915
21/10/2018, 16:35:18, 150, 520, 915
21/10/2018, 16:35:24, 150, 520, 915
21/10/2018, 16:35:25, 150, 520, 915
21/10/2018, 16:35:28, 150, 520, 915
21/10/2018, 16:35:30, 150, 520, 915
21/10/2018, 16:35:31, 150, 520, 915
21/10/2018, 16:35:32, 150, 520, 915
21/10/2018, 16:35:35, 150, 520, 915
21/10/2018, 16:35:37, 150, 520, 915
21/10/2018, 16:35:39, 150, 520, 915
21/10/2018, 16:35:41, 150, 520, 915
21/10/2018, 16:35:42, 150, 520, 915
21/10/2018, 16:35:45, 150, 520, 915
21/10/2018, 16:35:49, 150, 520, 915
21/10/2018, 16:35:51, 150, 520, 915
